id_cat,name_cat,url_cat
category-5435,Range-Couverts,https://www.centrale-brico.com/quincaillerie/meuble-rangement/range-couverts
category-5060,Porte-Fenêtre,https://www.centrale-brico.com/quincaillerie/porte-fenetre
category-1530,Penture,https://www.centrale-brico.com/quincaillerie/porte-fenetre/penture
category-1529,Isolation,https://www.centrale-brico.com/quincaillerie/porte-fenetre/isolation
category-1527,Bas de porte,https://www.centrale-brico.com/quincaillerie/porte-fenetre/bas-de-porte
category-1528,Poignée de porte,https://www.centrale-brico.com/quincaillerie/porte-fenetre/poignee-de-porte
category-1526,Rail de porte coulissante,https://www.centrale-brico.com/quincaillerie/porte-fenetre/rail-de-porte-coulissante
category-2058,Ferme-porte,https://www.centrale-brico.com/quincaillerie/porte-fenetre/ferme-porte
category-2057,Volets,https://www.centrale-brico.com/quincaillerie/porte-fenetre/volets
category-5298,Porte coulissante,https://www.centrale-brico.com/quincaillerie/porte-fenetre/porte-coulissante
category-5299,Rideau,https://www.centrale-brico.com/quincaillerie/porte-fenetre/rideau
category-5300,Store,https://www.centrale-brico.com/quincaillerie/porte-fenetre/store
category-5061,Serrurerie,https://www.centrale-brico.com/quincaillerie/serrurerie
category-1535,Cadenas-Antivol,https://www.centrale-brico.com/quincaillerie/serrurerie/cadenas-antivol
category-1941,Serrure en applique,https://www.centrale-brico.com/quincaillerie/serrurerie/serrure-en-applique
category-1931,Gâche électrique,https://www.centrale-brico.com/quincaillerie/serrurerie/gache-electrique
category-1768,Serrure de portail,https://www.centrale-brico.com/quincaillerie/serrurerie/serrure-de-portail
category-1538,Serrure à larder,https://www.centrale-brico.com/quincaillerie/serrurerie/serrure-a-larder
category-1537,Cylindre,https://www.centrale-brico.com/quincaillerie/serrurerie/cylindre
category-1536,Verrou,https://www.centrale-brico.com/quincaillerie/serrurerie/verrou
category-2059,Poignée de porte,https://www.centrale-brico.com/quincaillerie/serrurerie/poignee-de-porte
category-5012,Electricité,https://www.centrale-brico.com/electricite
category-5013,Branchement,https://www.centrale-brico.com/electricite/branchement
category-1284,Bloc-Multiprise,https://www.centrale-brico.com/electricite/branchement/bloc-multiprise
category-1287,Prise de courant,https://www.centrale-brico.com/electricite/branchement/prise-de-courant
category-1286,Fiche mâle,https://www.centrale-brico.com/electricite/branchement/fiche-male
category-1283,Accessoire branchement,https://www.centrale-brico.com/electricite/branchement/accessoire-branchement
category-1285,Câble-Rallonge,https://www.centrale-brico.com/electricite/branchement/cable-rallonge
category-1955,Fils et câbles,https://www.centrale-brico.com/electricite/branchement/fils-et-cables
category-1958,Cosse,https://www.centrale-brico.com/electricite/branchement/cosse
category-1320,Enrouleur,https://www.centrale-brico.com/electricite/branchement/enrouleur
category-2051,Fiche femelle,https://www.centrale-brico.com/electricite/branchement/fiche-femelle
category-5271,"Gaine, conduit électrique",https://www.centrale-brico.com/electricite/branchement/gaine-conduit-electrique
category-5014,Eclairage,https://www.centrale-brico.com/electricite/eclairage
category-1956,Lampe à poser,https://www.centrale-brico.com/electricite/eclairage/lampe-a-poser
category-1970,Lampe à incandescence,https://www.centrale-brico.com/electricite/eclairage/lampe-a-incandescence
category-1969,Lampe Fluocompacte,https://www.centrale-brico.com/electricite/eclairage/lampe-fluocompacte
category-1968,Lampe Halogène,https://www.centrale-brico.com/electricite/eclairage/lampe-halogene
category-1967,Projecteur Halogène,https://www.centrale-brico.com/electricite/eclairage/projecteur-halogene
category-1966,Luminaire Extérieur,https://www.centrale-brico.com/electricite/eclairage/luminaire-exterieur
category-1965,Lampe plafonnier,https://www.centrale-brico.com/electricite/eclairage/lampe-plafonnier
category-1964,Lampe en applique,https://www.centrale-brico.com/electricite/eclairage/lampe-en-applique
category-1962,Spot encastrable,https://www.centrale-brico.com/electricite/eclairage/spot-encastrable
category-1961,Spot à fixer,https://www.centrale-brico.com/electricite/eclairage/spot-a-fixer
category-1957,Lampe LED,https://www.centrale-brico.com/electricite/eclairage/lampe-led
category-1963,Lampe suspendue,https://www.centrale-brico.com/electricite/eclairage/lampe-suspendue
category-1960,Lampadaire d'intérieur,https://www.centrale-brico.com/electricite/eclairage/lampadaire-d-interieur
category-2052,Projecteur LED,https://www.centrale-brico.com/electricite/eclairage/projecteur-led
category-1291,Signalisation,https://www.centrale-brico.com/electricite/eclairage/signalisation
category-1290,Interrupteur,https://www.centrale-brico.com/electricite/eclairage/interrupteur
category-1289,Douille,https://www.centrale-brico.com/electricite/eclairage/douille
category-1288,Baladeuse,https://www.centrale-brico.com/electricite/eclairage/baladeuse
category-5272,Accessoires pour lustre,https://www.centrale-brico.com/electricite/eclairage/accessoires-pour-lustre
category-5273,Lampe veilleuse,https://www.centrale-brico.com/electricite/eclairage/lampe-veilleuse
category-5430,Lampadaire d'extérieur,https://www.centrale-brico.com/electricite/eclairage/lampadaire-d-exterieur
category-5015,Installation,https://www.centrale-brico.com/electricite/installation
category-1297,Horloge-Mesure,https://www.centrale-brico.com/electricite/installation/horloge-mesure
category-1298,Interrupteur-Prise-Télérupteur,https://www.centrale-brico.com/electricite/installation/interrupteur-prise-telerupteur
category-1299,Moulure-Accessoire,https://www.centrale-brico.com/electricite/installation/moulure-accessoire
category-1300,Outil-Isolant,https://www.centrale-brico.com/electricite/installation/outil-isolant
category-1302,Tableau-Distribution,https://www.centrale-brico.com/electricite/installation/tableau-distribution
category-1307,Signalisation-Sonnette-Carillon,https://www.centrale-brico.com/electricite/installation/signalisation-sonnette-carillon
category-1296,Contacteur-Poussoir-Variateur,https://www.centrale-brico.com/electricite/installation/contacteur-poussoir-variateur
category-1295,Borne-Connexion-Fixation,https://www.centrale-brico.com/electricite/installation/borne-connexion-fixation
category-1294,Boîte dérivation-Encastrement,https://www.centrale-brico.com/electricite/installation/boite-derivation-encastrement
category-1293,Accessoires interrupteur-Prise,https://www.centrale-brico.com/electricite/installation/accessoires-interrupteur-prise
category-5338,Panneau solaire,https://www.centrale-brico.com/electricite/installation/panneau-solaire
category-5017,Multimédia,https://www.centrale-brico.com/electricite/multimedia
category-1303,Informatique-TV-Téléphone,https://www.centrale-brico.com/electricite/multimedia/informatique-tv-telephone
category-1959,Antenne,https://www.centrale-brico.com/electricite/multimedia/antenne
category-1321,Pile-Batterie,https://www.centrale-brico.com/electricite/multimedia/pile-batterie
category-5018,Protection,https://www.centrale-brico.com/electricite/protection
category-2050,Sécurité,https://www.centrale-brico.com/electricite/protection/securite
category-1305,Fusible,https://www.centrale-brico.com/electricite/protection/fusible
category-1304,Disjoncteur-Différentiel,https://www.centrale-brico.com/electricite/protection/disjoncteur-differentiel
category-5346,Chauffage - Traitement de l'air,https://www.centrale-brico.com/chauffage---traitement-de-l-air
category-5353,Poêle à bois - Poêle à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules
category-5385,Poêle à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/poele-a-bois
