id_cat,is_page,name_cat,parent_cat,url_cat
category-1299,1,Moulure-Accessoire,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/moulure-accessoire
category-1300,1,Outil-Isolant,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/outil-isolant
category-1302,1,Tableau-Distribution,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/tableau-distribution
category-1307,1,Signalisation-Sonnette-Carillon,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/signalisation-sonnette-carillon
category-1296,1,Contacteur-Poussoir-Variateur,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/contacteur-poussoir-variateur
category-1295,1,Borne-Connexion-Fixation,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/borne-connexion-fixation
category-1294,1,Boîte dérivation-Encastrement,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/boite-derivation-encastrement
category-1293,1,Accessoires interrupteur-Prise,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/accessoires-interrupteur-prise
category-5338,1,Panneau solaire,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/panneau-solaire
category-5017,0,Multimédia,https://www.centrale-brico.com/electricite,https://www.centrale-brico.com/electricite/multimedia
category-1303,1,Informatique-TV-Téléphone,https://www.centrale-brico.com/electricite/multimedia,https://www.centrale-brico.com/electricite/multimedia/informatique-tv-telephone
category-1959,1,Antenne,https://www.centrale-brico.com/electricite/multimedia,https://www.centrale-brico.com/electricite/multimedia/antenne
category-1321,1,Pile-Batterie,https://www.centrale-brico.com/electricite/multimedia,https://www.centrale-brico.com/electricite/multimedia/pile-batterie
category-5018,0,Protection,https://www.centrale-brico.com/electricite,https://www.centrale-brico.com/electricite/protection
category-2050,1,Sécurité,https://www.centrale-brico.com/electricite/protection,https://www.centrale-brico.com/electricite/protection/securite
category-1305,1,Fusible,https://www.centrale-brico.com/electricite/protection,https://www.centrale-brico.com/electricite/protection/fusible
category-1304,1,Disjoncteur-Différentiel,https://www.centrale-brico.com/electricite/protection,https://www.centrale-brico.com/electricite/protection/disjoncteur-differentiel
category-5346,0,Chauffage - Traitement de l'air,https://www.centrale-brico.com,https://www.centrale-brico.com/chauffage---traitement-de-l-air
category-5353,0,Poêle à bois - Poêle à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules
category-5385,1,Poêle à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/poele-a-bois
category-5386,1,Poêle à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/poele-a-granules
category-5384,1,Accessoires poêles à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-bois---poele-a-granules/accessoires-poeles-a-bois
category-5355,0,Radiateur Electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique
category-5393,1,Radiateur électrique fixe,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/radiateur-electrique-fixe
category-5392,1,Radiateur mobile,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/radiateur-mobile
category-5394,1,Sèche serviette,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/seche-serviette
category-5391,1,Chauffage de Chantier,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/chauffage-de-chantier
category-5395,1,Thermostat - accessoires,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/thermostat---accessoires
category-5417,1,Double technologie,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/double-technologie
category-5418,1,Inertie fluide,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/inertie-fluide
category-5419,1,Inertie sèche,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/radiateur-electrique/inertie-seche
category-5350,0,Cheminée - Insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert
category-5372,1,Cheminée électrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/cheminee-electrique
category-5373,1,Insert de cheminée,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/insert-de-cheminee
category-5371,1,Cheminée à bois,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/cheminee-a-bois
category-5370,1,Accessoires d'insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert,https://www.centrale-brico.com/chauffage---traitement-de-l-air/cheminee---insert/accessoires-d-insert
category-5354,0,Poêle à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole
category-5390,1,Poêle à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/poele-a-petrole
category-5389,1,Poêle à gaz,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/poele-a-gaz
category-5387,1,Accessoire poêles à pétrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/accessoire-poeles-a-petrole
category-5388,1,Combustible,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole,https://www.centrale-brico.com/chauffage---traitement-de-l-air/poele-a-petrole/combustible
category-5349,0,Chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau
category-5369,1,Chauffe-eau électrique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/chauffe-eau-electrique
category-5368,1,Chauffe-eau thermodynamique,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/chauffe-eau-thermodynamique
category-5367,1,Accessoire Chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffe-eau/accessoire-chauffe-eau
category-5356,0,VMC - extracteur d'air,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air
category-5399,1,VMC simple flux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/vmc-simple-flux
category-5398,1,VMC double flux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/vmc-double-flux
category-5396,1,Bouche d'aération - extracteur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/bouche-d-aeration---extracteur
category-5397,1,Distribution d'air - Grille d'aération,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/vmc---extracteur-d-air/distribution-d-air---grille-d-aeration
category-5352,0,Fumisterie - Tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage
category-5379,1,Kit de raccordement,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/kit-de-raccordement
category-5382,1,Tubage flexible,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/tubage-flexible
category-5383,1,Tubage rigide,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/tubage-rigide
category-5378,1,Distribution d'air chaud - caisson,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/distribution-d-air-chaud---caisson
category-5380,1,Raccordement - Accessoires,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/raccordement---accessoires
category-5381,1,Sortie de toit,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage,https://www.centrale-brico.com/chauffage---traitement-de-l-air/fumisterie---tubage/sortie-de-toit
category-5351,0,Climatiseur - ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur
category-5375,1,Climatiseur mobile,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/climatiseur-mobile
category-5374,1,Climatiseur fixe,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/climatiseur-fixe
category-5377,1,Ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/ventilateur
category-5376,1,Déshumidificateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/climatiseur---ventilateur/deshumidificateur
category-5347,0,Accessoires de Cheminée,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee
category-5363,1,Range-bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/range-buches
category-5358,1,Chenet,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/chenet
category-5359,1,Panier à bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/panier-a-buches
category-5364,1,Réserve à granulés,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/reserve-a-granules
category-5360,1,Pare-feux,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/pare-feux
category-5362,1,Protection murale,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/protection-murale
category-5357,1,Accessoires pour foyers et poêles,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/accessoires-pour-foyers-et-poeles
category-5406,1,Aspirateur à cendres,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/aspirateur-a-cendres
category-5407,1,Chariot à bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/chariot-a-buches
category-5408,1,Chenets,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/chenets
category-5409,1,Pelle à granulés et cendres,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/pelle-a-granules-et-cendres
category-5410,1,Pince et tison,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/pince-et-tison
category-5361,1,Plaque de sol,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/plaque-de-sol
category-5411,1,Plaque murale,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/plaque-murale
category-5412,1,Porte-bûches,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/porte-buches
category-5365,1,Serviteur,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/serviteur
category-5413,1,Soufflet,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee,https://www.centrale-brico.com/chauffage---traitement-de-l-air/accessoires-de-cheminee/soufflet
category-5348,0,Chauffage au sol,https://www.centrale-brico.com/chauffage---traitement-de-l-air,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffage-au-sol
category-5366,1,Chauffage au sol,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffage-au-sol,https://www.centrale-brico.com/chauffage---traitement-de-l-air/chauffage-au-sol/chauffage-au-sol
