cat_product,id_cat,id_product,name_product,price_product,url_product
Défonceuse,category-1564,B1305400,Défonceuse – TC-RO 1155 E – 1100 W – Vitesse variable – Course 55 mm,67.00,https://www.centrale-brico.com/einhell-defonceuse-tc-ro-1155-e-1100-w-vitesse-variable-course-55-mm-b1305400
Machine multifonction,category-1566,B8278300,Mortaiseuse à méches - 2200W - 400V,2.520.81,https://www.centrale-brico.com/holzmann-mortaiseuse-a-meches-2200w-400v-b8278300
Machine multifonction,category-1566,B8282300,Mortaiseuse à méches + table - 3000W - 230V,1.876.24,https://www.centrale-brico.com/holzmann-mortaiseuse-a-meches-table-3000w-230v-b8282300
Machine multifonction,category-1566,B8287500,Machine d'assemblage de cadres double - 600 W - 230 V / 50 Hz,1.008.96,https://www.centrale-brico.com/holzmann-machine-d-assemblage-de-cadres-double-600-w-230-v-50-hz-b8287500
Machine multifonction,category-1566,B8287600,Mortaiseuse à méches - 2200W - 230V,1.114.97,https://www.centrale-brico.com/holzmann-mortaiseuse-a-meches-2200w-230v-b8287600
Machine multifonction,category-1566,B8287700,Mortaiseuse à méches - 2200W - 400V,1.133.63,https://www.centrale-brico.com/holzmann-mortaiseuse-a-meches-2200w-400v-b8287700
Machine multifonction,category-1566,B8290200,"Machine à étirer les rouleaux Holzmann, gorge : 690 mm",1.077.10,https://www.centrale-brico.com/holzmann-machine-a-etirer-les-rouleaux-holzmann-gorge-690-mm-b8290200
Machine multifonction,category-1566,B8290600,"Perceuse à charnières pneumatique de type ""BLUM"" D. 35 mm - 230V - 750W",1.004.07,https://www.centrale-brico.com/holzmann-perceuse-a-charnieres-pneumatique-de-type-blum-d-35-mm-230v-750w-b8290600
Machine multifonction,category-1566,B8290700,Mortaiseuse à bédane - 750W - 230V,967.97,https://www.centrale-brico.com/holzmann-mortaiseuse-a-bedane-750w-230v-b8290700
Machine multifonction,category-1566,B8291400,Machine d'assemblage de cadres double  - 600W - 230 V / 50 Hz,784.84,https://www.centrale-brico.com/holzmann-machine-d-assemblage-de-cadres-double-600w-230-v-50-hz-b8291400
Machine multifonction,category-1566,B8292400,Machine d'étirage de rouleaux Holzmann,820.19,https://www.centrale-brico.com/holzmann-machine-d-etirage-de-rouleaux-holzmann-b8292400
Machine multifonction,category-1566,B8293500,Dispositif de pivotement de panneaux - Cadre de montage sur plaque,720.97,https://www.centrale-brico.com/holzmann-dispositif-de-pivotement-de-panneaux-cadre-de-montage-sur-plaque-b8293500
Machine multifonction,category-1566,B8293600,Découpeur PLASMA INVERTER - 230 V - 6 Kva - 40A,632.86,https://www.centrale-brico.com/holzmann-decoupeur-plasma-inverter-230-v-6-kva-40a-b8293600
Machine multifonction,category-1566,B8293700,Machine a charnieres - 750W - 230V 50Hz,723.24,https://www.centrale-brico.com/holzmann-machine-a-charnieres-750w-230v-50hz-b8293700
Machine multifonction,category-1566,B8297900,Mortaiseuse pour dégauchisseuse HOB305PRO + mandrin,532.00,https://www.centrale-brico.com/holzmann-mortaiseuse-pour-degauchisseuse-hob305pro-mandrin-b8297900
Machine multifonction,category-1566,B8299500,Mortaiseuse pour dégauchisseuse HOB260NL ou ECO + mandrin,440.30,https://www.centrale-brico.com/holzmann-mortaiseuse-pour-degauchisseuse-hob260nl-ou-eco-mandrin-b8299500
Machine multifonction,category-1566,B8302000,Palan électrique 1600 W - 230 V - charge max 1000 kg,377.85,https://www.centrale-brico.com/holzmann-palan-electrique-1600-w-230-v-charge-max-1000-kg-b8302000
